ID	Sex	BirthYear	BY.min	BY.max
C245960FRH	2	NA	2019	2022
C245961FRH	2	NA	2019	2022
C245962FRH	1	NA	2019	2022
C245963FRH	2	NA	2019	2022
C245964FRH	2	NA	2019	2022
C245965FRH	2	NA	2019	2022
C245966FRH	2	NA	2019	2022
C245967FRH	1	NA	2019	2022
C245968FRH	1	NA	2019	2022
C245969FRH	1	NA	2019	2022
C245970FRH	2	NA	2019	2022
C245971FRH	2	NA	2019	2022
C245972FRH	1	NA	2019	2022
C245973FRH	2	NA	2019	2022
C245974FRH	1	NA	2019	2022
C245975FRH	2	NA	2019	2022
C245976FRH	1	NA	2019	2022
C245977FRH	1	NA	2019	2022
C245978FRH	1	NA	2019	2022
C245979FRH	1	NA	2019	2022
C245980FRH	2	NA	2019	2022
C245981FRH	1	NA	2019	2022
C245982FRH	2	NA	2019	2022
C245983FRH	2	NA	2019	2022
C245984FRH	2	NA	2019	2022
C245985FRH	2	NA	2019	2022
C245986FRH	2	NA	2019	2022
C245987FRH	2	NA	2019	2022
C245988FRH	2	NA	2019	2022
C245989FRH	1	NA	2019	2022
C245990FRH	2	NA	2019	2022
C245991FRH	2	NA	2019	2022
C245992FRH	2	NA	2019	2022
C245993FRH	2	NA	2019	2022
C245994FRH	2	NA	2019	2022
C245995FRH	2	NA	2019	2022
C245996FRH	1	NA	2019	2022
C245997FRH	2	NA	2019	2022
C245998FRH	2	NA	2019	2022
C245999FRH	1	NA	2019	2022
C246000FRH	1	NA	2019	2022
C246001FRH	1	NA	2019	2022
C246002FRH	1	NA	2019	2022
C246003FRH	1	NA	2019	2022
C246005FRH	1	NA	2019	2022
C246006FRH	2	NA	2019	2022
C246007FRH	1	NA	2019	2022
C246008FRH	1	NA	2019	2022
C246009FRH	1	NA	2019	2022
C246010FRH	1	NA	2019	2022
C246011FRH	2	NA	2019	2022
C246012FRH	1	NA	2019	2022
C246013FRH	1	NA	2019	2022
C246014FRH	1	NA	2019	2022
C246015FRH	2	NA	2019	2022
C246016FRH	1	NA	2019	2022
C246017FRH	1	NA	2019	2022
C247311FRH	1	NA	2019	2022
C247312FRH	2	NA	2019	2022
C247313FRH	1	NA	2019	2022
C247314FRH	2	NA	2019	2022
C247315FRH	2	NA	2019	2022
C247316FRH	1	NA	2019	2022
C247317FRH	1	NA	2019	2022
C247318FRH	1	NA	2019	2022
C247319FRH	1	NA	2019	2022
C247320FRH	2	NA	2019	2022
C247321FRH	2	NA	2019	2022
C247322FRH	1	NA	2019	2022
C247323FRH	2	NA	2019	2022
C247324FRH	2	NA	2019	2022
C247325FRH	2	NA	2019	2022
C247326FRH	2	NA	2019	2022
C247327FRH	2	NA	2019	2022
C247328FRH	2	NA	2019	2022
C247330FRH	1	NA	2019	2022
C247331FRH	2	NA	2019	2022
C247332FRH	2	NA	2019	2022
C247333FRH	1	NA	2019	2022
C247334FRH	2	NA	2019	2022
C247335FRH	1	NA	2019	2022
C247336FRH	2	NA	2019	2022
C247337FRH	2	NA	2019	2022
C247338FRH	1	NA	2019	2022
C247339FRH	2	NA	2019	2022
C247340FRH	2	NA	2019	2022
C247341FRH	1	NA	2019	2022
C247342FRH	2	NA	2019	2022
C247343FRH	2	NA	2019	2022
C247344FRH	1	NA	2019	2022
C247345FRH	2	NA	2019	2022
C247346FRH	1	NA	2019	2022
C247347FRH	1	NA	2019	2022
C247348FRH	2	NA	2019	2022
C247349FRH	1	NA	2019	2022
C247350FRH	1	NA	2019	2022
C247351FRH	2	NA	2019	2022
C247352FRH	1	NA	2019	2022
C247353FRH	1	NA	2019	2022
C247354FRH	2	NA	2019	2022
C247355FRH	2	NA	2019	2022
C247356FRH	2	NA	2019	2022
C247357FRH	2	NA	2019	2022
C247358FRH	1	NA	2019	2022
C247359FRH	1	NA	2019	2022
C247360FRH	2	NA	2019	2022
C247361FRH	1	NA	2019	2022
C247362FRH	1	NA	2019	2022
C247363FRH	2	NA	2019	2022
C247364FRH	2	NA	2019	2022
C247365FRH	1	NA	2019	2022
C247366FRH	1	NA	2019	2022
C247367FRH	2	NA	2019	2022
C247368FRH	1	NA	2019	2022
C247369FRH	1	NA	2019	2022
C247370FRH	2	NA	2019	2022
C247371FRH	1	NA	2019	2022
C247372FRH	1	NA	2019	2022
C247373FRH	2	NA	2019	2022
C247374FRH	1	NA	2019	2022
C247375FRH	1	NA	2019	2022
C247376FRH	2	NA	2019	2022
C247377FRH	2	NA	2019	2022
C247378FRH	2	NA	2019	2022
C247379FRH	1	NA	2019	2022
C247380FRH	2	NA	2019	2022
C247381FRH	2	NA	2019	2022
C247382FRH	1	NA	2019	2022
C247383FRH	1	NA	2019	2022
C247384FRH	1	NA	2019	2022
C247385FRH	1	NA	2019	2022
C247387FRH	1	NA	2019	2022
C247388FRH	2	NA	2019	2022
C247389FRH	2	NA	2019	2022
C247390FRH	1	NA	2019	2022
C247391FRH	2	NA	2019	2022
C247392FRH	2	NA	2019	2022
C247393FRH	1	NA	2019	2022
C247394FRH	2	NA	2019	2022
C247395FRH	1	NA	2019	2022
C247396FRH	2	NA	2019	2022
C247397FRH	2	NA	2019	2022
C247398FRH	1	NA	2019	2022
C247399FRH	2	NA	2019	2022
C247400FRH	1	NA	2019	2022
C247401FRH	1	NA	2019	2022
C247402FRH	1	NA	2019	2022
C247403FRH	2	NA	2019	2022
C247404FRH	2	NA	2019	2022
C247405FRH	2	NA	2019	2022
C247406FRH	2	NA	2019	2022
C247407FRH	2	NA	2019	2022
C247408FRH	1	NA	2019	2022
C247409FRH	1	NA	2019	2022
C247410FRH	2	NA	2019	2022
C247411FRH	1	NA	2019	2022
C247412FRH	1	NA	2019	2022
C247413FRH	2	NA	2019	2022
C247414FRH	2	NA	2019	2022
C247415FRH	1	NA	2019	2022
C247416FRH	2	NA	2019	2022
C247417FRH	2	NA	2019	2022
C247418FRH	2	NA	2019	2022
C247419FRH	1	NA	2019	2022
C247420FRH	2	NA	2019	2022
C247421FRH	2	NA	2019	2022
C247422FRH	1	NA	2019	2022
C247423FRH	2	NA	2019	2022
C247424FRH	2	NA	2019	2022
C247425FRH	1	NA	2019	2022
C247426FRH	2	NA	2019	2022
C247427FRH	1	NA	2019	2022
C247428FRH	1	NA	2019	2022
C247429FRH	1	NA	2019	2022
C247430FRH	2	NA	2019	2022
C247431FRH	1	NA	2019	2022
C247432FRH	2	NA	2019	2022
C247433FRH	2	NA	2019	2022
C247434FRH	2	NA	2019	2022
C247435FRH	1	NA	2019	2022
C247436FRH	1	NA	2019	2022
C247437FRH	2	NA	2019	2022
C247438FRH	1	NA	2019	2022
C247439FRH	2	NA	2019	2022
C247440FRH	2	NA	2019	2022
C247441FRH	1	NA	2019	2022
C247442FRH	1	NA	2019	2022
